date,invested,market_value,pnl,pnl_pct,n_positions,nav
2026-06-04,9921.55,9907.45,-14.1,-0.14,5,1.0
2026-06-05,9921.55,9607.2,-314.35,-3.17,5,0.969695
2026-06-08,9921.55,9405.3,-516.25,-5.2,5,0.949316
2026-06-09,9921.55,9561.7,-359.85,-3.63,5,0.965102
2026-06-10,9921.55,9361.05,-560.5,-5.65,5,0.94485
2026-06-11,9921.55,9383.85,-537.7,-5.42,5,0.947151
2026-06-12,9921.55,9577.55,-344.0,-3.47,5,0.966702
2026-06-15,9921.55,9650.5,-271.05,-2.73,5,0.974065
2026-06-16,9921.55,9535.45,-386.1,-3.89,5,0.962452
2026-06-17,9921.55,9567.9,-353.65,-3.56,5,0.965728
2026-06-18,9921.55,9499.55,-422.0,-4.25,5,0.958829
2026-06-19,9921.55,9540.3,-381.25,-3.84,5,0.962942
2026-06-22,9921.55,9642.05,-279.5,-2.82,5,0.973212
2026-06-23,9921.55,9299.8,-621.75,-6.27,5,0.938667
2026-06-24,9921.55,9322.1,-599.45,-6.04,5,0.940918
2026-06-25,9921.55,9130.45,-791.1,-7.97,5,0.921574
2026-06-26,9921.55,9130.45,-791.1,-7.97,5,0.921574
2026-06-29,9921.55,9319.0,-602.55,-6.07,5,0.940605
2026-06-30,9921.55,9228.65,-692.9,-6.98,5,0.931486
2026-07-01,9921.55,9234.7,-686.85,-6.92,5,0.932097
2026-07-02,9921.55,9171.15,-750.4,-7.56,5,0.925682
2026-07-03,9921.55,9189.9,-731.65,-7.37,5,0.927575
2026-07-06,9921.55,9146.1,-775.45,-7.82,5,0.923154
2026-07-07,9921.55,9025.55,-896.0,-9.03,5,0.910986
2026-07-08,96755.55,96393.42,-362.13,-0.37,15,1.0
2026-07-09,96755.55,97296.56,541.01,0.56,15,1.009369
2026-07-10,96755.55,98537.91,1782.36,1.84,15,1.022247
2026-07-13,96755.55,98788.94,2033.39,2.1,15,1.024851
2026-07-14,96755.55,99505.92,2750.37,2.84,15,1.032289
2026-07-15,96755.55,98902.98,2147.43,2.22,15,1.026034
2026-07-16,96755.55,98536.5,1780.95,1.84,15,1.022232
2026-07-17,96755.55,97476.96,721.41,0.75,15,1.01124
2026-07-20,96755.55,98367.17,1611.62,1.67,15,1.020475
2026-07-21,96755.55,98867.68,2112.13,2.18,15,1.025667
2026-07-22,96755.55,98400.44,1644.89,1.7,15,1.02082
2026-07-23,96755.55,97322.94,567.39,0.59,15,1.009642
2026-07-24,96755.55,97057.54,301.99,0.31,15,1.006889
2026-07-27,96755.55,97795.94,1040.39,1.08,15,1.014549
2026-07-28,96755.55,96831.4,75.85,0.08,15,1.004543
2026-07-29,96755.55,97259.89,504.34,0.52,15,1.008988
2026-07-30,96755.55,96489.95,-265.6,-0.27,15,1.001001
2026-07-31,96755.55,97720.48,964.93,1.0,15,1.013767
2026-08-03,96755.55,98677.58,1922.03,1.99,15,1.023696
2026-08-04,96755.55,98907.58,2152.03,2.22,15,1.026082
2026-08-05,96755.55,99010.24,2254.69,2.33,15,1.027147
2026-08-06,96755.55,99864.66,3109.11,3.21,15,1.036011
2026-08-07,96755.55,99845.07,3089.52,3.19,15,1.035808
2026-08-10,96755.55,99572.4,2816.85,2.91,15,1.032979
2026-08-11,96755.55,99303.92,2548.37,2.63,15,1.030194
2026-08-12,96755.55,101072.94,4317.39,4.46,15,1.048546
2026-08-13,96755.55,100436.93,3681.38,3.8,15,1.041948
2026-08-14,96755.55,99655.4,2899.85,3.0,15,1.03384
2026-08-17,96755.55,100709.65,3954.1,4.09,15,1.044777
2026-08-18,96755.55,100763.75,4008.2,4.14,15,1.045338
2026-08-19,96755.55,99989.56,3234.01,3.34,15,1.037306
2026-08-20,96755.55,100140.59,3385.04,3.5,15,1.038873
2026-08-21,96755.55,100539.45,3783.9,3.91,15,1.043011
2026-08-24,96755.55,100926.89,4171.34,4.31,15,1.04703
2026-08-25,96755.55,101275.2,4519.65,4.67,15,1.050643
2026-08-26,96755.55,101585.89,4830.34,4.99,15,1.053866
2026-08-27,96755.55,101879.03,5123.48,5.3,15,1.056907
2026-08-28,96755.55,101822.6,5067.05,5.24,15,1.056322
2026-08-31,96755.55,101381.86,4626.31,4.78,15,1.05175
2026-09-01,96755.55,100058.76,3303.21,3.41,15,1.038024
2026-09-02,96755.55,100089.17,3333.62,3.45,15,1.03834
2026-09-03,96755.55,100096.09,3340.54,3.45,15,1.038412
2026-09-04,96755.55,99756.4,3000.85,3.1,15,1.034888
2026-09-07,96755.55,99813.73,3058.18,3.16,15,1.035483
2026-09-08,96755.55,101246.4,4490.85,4.64,15,1.050346
2026-09-09,96755.55,101936.12,5180.57,5.35,15,1.057501
2026-09-10,96755.55,101236.39,4480.84,4.63,15,1.050242
2026-09-11,96755.55,100465.25,3709.7,3.83,15,1.042242
2026-09-14,96755.55,100465.25,3709.7,3.83,15,1.042242
2026-09-15,96755.55,97515.07,759.52,0.78,15,1.011636
2026-09-16,96755.55,97159.54,403.99,0.42,15,1.007948
