symbol,side,quantity,estimated_value,order_id,status,limit_price,timestamp
NATIONALUM,BUY,4,1684.20,260604221046189,placed,423.15,2026-06-04T11:52:53.116799
HINDCOPPER,BUY,3,1630.05,260604221046195,placed,546.05,2026-06-04T11:52:53.116799
MCX,BUY,1,2896.70,260604221046203,placed,2911.20,2026-06-04T11:52:53.116799
VEDL,BUY,6,1967.10,260604221046213,placed,329.50,2026-06-04T11:52:53.116799
RBLBANK,BUY,5,1743.50,260604221046221,placed,350.45,2026-06-04T11:52:53.116799
RBLBANK,SELL,5,1843.0000305175781,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,366.75,2026-07-06T14:31:35.660451
VEDL,SELL,6,1692.0,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,280.6,2026-07-06T14:31:35.660451
ADANIGREEN,BUY,4,6196.7998046875,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,1556.9,2026-07-06T14:31:35.660451
ADANIPOWER,BUY,30,6595.500183105469,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,220.95,2026-07-06T14:31:35.660451
BHARATFORG,BUY,3,6416.099853515625,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,2149.4,2026-07-06T14:31:35.660451
BHEL,BUY,17,6587.5,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,389.45,2026-07-06T14:31:35.660451
CUMMINSIND,BUY,1,5578.5,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,5606.4,2026-07-06T14:31:35.660451
GESHIP,BUY,4,5640.39990234375,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,1417.2,2026-07-06T14:31:35.660451
GRANULES,BUY,7,5979.400085449219,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,858.45,2026-07-06T14:31:35.660451
HINDCOPPER,BUY,10,4946.000061035156,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,497.05,2026-07-06T14:31:35.660451
IDEA,BUY,473,6664.570072174072,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,14.15,2026-07-06T14:31:35.660451
LAURUSLABS,BUY,4,6116.7998046875,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,1536.8,2026-07-06T14:31:35.660451
MCX,BUY,1,2723.10009765625,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,2736.7,2026-07-06T14:31:35.660451
NATIONALUM,BUY,14,4914.6998291015625,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,352.8,2026-07-06T14:31:35.660451
NAVINFLUOR,BUY,1,7729.0,,failed: IP (94.43.216.201) is not allowed to place orders for this app. Update allowed IPs on the Kite developer console. Learn more - https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/static-ip,7767.6,2026-07-06T14:31:35.660451
