date,equity,n_positions,cash_weight
2026-06-08,0.995813774,15,1.1102230246251563e-16
2026-06-09,1.0040792196,15,1.1102230246251565e-16
2026-06-10,0.9902589215,15,1.1102230246251565e-16
2026-06-11,0.9848027543,15,1.1102230246251565e-16
2026-06-12,1.0051700296,15,1.1102230246251565e-16
2026-06-15,1.0186582655,15,1.1102230246251565e-16
2026-06-16,1.0203287912,15,1.1102230246251565e-16
2026-06-17,1.0238789414,15,1.1102230246251565e-16
2026-06-18,1.0249602611,15,1.1102230246251565e-16
2026-06-19,1.0296069092,15,1.1102230246251565e-16
2026-06-22,1.0409084186,15,1.1102230246251565e-16
2026-06-23,1.0219732409,15,1.1102230246251565e-16
2026-06-24,1.026757478,15,1.1102230246251565e-16
2026-06-25,1.0148410085,15,1.1102230246251565e-16
