ticker,score,rebalance_date
GESHIP,0.815072142974258,2026-06-08
MCX,0.7913797343826856,2026-06-08
IEX,0.7628914576160026,2026-06-08
OFSS,0.7620921462534842,2026-06-08
GNFC,0.7522339727824233,2026-06-08
NATIONALUM,0.7376619117888179,2026-06-08
LUPIN,0.7305910805050009,2026-06-08
NMDC,0.7300582062633219,2026-06-08
CHAMBLFERT,0.728910477127398,2026-06-08
MUTHOOTFIN,0.6960772257747172,2026-06-08
HINDCOPPER,0.6940277094605674,2026-06-08
PETRONET,0.6844769634366289,2026-06-08
VEDL,0.6759099852434826,2026-06-08
GLAXO,0.6586735530414822,2026-06-08
IRCTC,0.6506599442531562,2026-06-08
AMBUJACEM,0.6466838826037055,2026-06-08
PERSISTENT,0.6461510083620265,2026-06-08
CUMMINSIND,0.6359444171175602,2026-06-08
OBEROIRLTY,0.6350016396130513,2026-06-08
IPCALAB,0.6336284636825709,2026-06-08
ICICIGI,0.6325012297097885,2026-06-08
HAVELLS,0.6227455320544352,2026-06-08
TATAELXSI,0.6189744220363993,2026-06-08
FINPIPE,0.6149778652238072,2026-06-08
JSL,0.6141170683718642,2026-06-08
HDFCAMC,0.6114731923266109,2026-06-08
CANFINHOME,0.6082554517133957,2026-06-08
SUPREMEIND,0.6059190031152648,2026-06-08
APLAPOLLO,0.6005697655353337,2026-06-08
GLAND,0.5992990654205608,2026-06-08
PIDILITIND,0.5938063616986391,2026-06-08
APOLLOTYRE,0.5916748647319232,2026-06-08
IGL,0.5897278242334809,2026-06-08
INDIAMART,0.5878627643876045,2026-06-08
MRF,0.5873708804722085,2026-06-08
BOSCHLTD,0.5836817511067388,2026-06-08
ADANIPOWER,0.5835177898016068,2026-06-08
NAVINFLUOR,0.5599688473520249,2026-06-08
ESCORTS,0.5591285456632235,2026-06-08
PFC,0.5548450565666502,2026-06-08
SOLARINDS,0.5518117724217084,2026-06-08
CGPOWER,0.55142236432202,2026-06-08
POLYCAB,0.5493113625184456,2026-06-08
MPHASIS,0.5485530414822102,2026-06-08
ASHOKLEY,0.5483685850139367,2026-06-08
SUNTV,0.5472003607148712,2026-06-08
CDSL,0.5442490572224954,2026-06-08
MARICO,0.5400680439416298,2026-06-08
M&MFIN,0.5349852434825381,2026-06-08
AEGISLOG,0.5312141334645024,2026-06-08
MGL,0.5292261026397771,2026-06-08
ZYDUSLIFE,0.5257624200688638,2026-06-08
INDUSTOWER,0.5197983275946877,2026-06-08
BERGEPAINT,0.5179537629119528,2026-06-08
ACC,0.5092023282505329,2026-06-08
JBCHEPHARM,0.5083005410723069,2026-06-08
RAMCOCEM,0.506578947368421,2026-06-08
DABUR,0.5054107230693556,2026-06-08
GRANULES,0.5034636825709132,2026-06-08
DLF,0.4997745532054435,2026-06-08
ICICIPRULI,0.49670027873421874,2026-06-08
METROPOLIS,0.49303164453189047,2026-06-08
GODREJIND,0.49241678963764557,2026-06-08
JUBLFOOD,0.48538011695906436,2026-06-08
LALPATHLAB,0.48341941301852764,2026-06-08
ALKEM,0.4780291851123135,2026-06-08
GODREJPROP,0.47739383505492705,2026-06-08
DIXON,0.4727824233480898,2026-06-08
CESC,0.4726594523692408,2026-06-08
RECLTD,0.47159370388588295,2026-06-08
LICHSGFIN,0.47079439252336447,2026-06-08
NAUKRI,0.4647483193966224,2026-06-08
INDHOTEL,0.45907115920642727,2026-06-08
NHPC,0.45780045909165434,2026-06-08
TVSMOTOR,0.44882357763567793,2026-06-08
KANSAINER,0.44786030496802753,2026-06-08
HONAUT,0.4478193146417445,2026-06-08
ASTRAL,0.44429414658140676,2026-06-08
KPITTECH,0.4400311526479751,2026-06-08
CONCOR,0.43970323003771106,2026-06-08
PIIND,0.4374077717658632,2026-06-08
SBICARD,0.4321815051647811,2026-06-08
MOTHERSON,0.43005000819806527,2026-06-08
AUROPHARMA,0.42564354812264305,2026-06-08
ABCAPITAL,0.42174946712575834,2026-06-08
DMART,0.4052508607968519,2026-06-08
ZEEL,0.40350877192982454,2026-06-08
UPL,0.3941014920478767,2026-06-08
SRF,0.39022790621413345,2026-06-08
EXIDEIND,0.38465322183964584,2026-06-08
FORTIS,0.37975487784882767,2026-06-08
BHEL,0.3719462206919167,2026-06-08
LAURUSLABS,0.37001967535661584,2026-06-08
GODREJCP,0.36801114936874896,2026-06-08
GAIL,0.3670888670273816,2026-06-08
DEEPAKNTR,0.34667568453844894,2026-06-08
WHIRLPOOL,0.33929742580750943,2026-06-08
KEC,0.33739137563535004,2026-06-08
DALBHARAT,0.31937612723397274,2026-06-08
TORNTPOWER,0.3073044761436301,2026-06-08
TATAPOWER,0.3043121823249713,2026-06-08
PAYTM,0.30409356725146197,2026-06-08
JINDALSTEL,0.2953216374269006,2026-06-08
ADANIGREEN,0.2910928020987047,2026-06-08
ATGL,0.2896581406787998,2026-06-08
SYNGENE,0.2658837514346614,2026-06-08
TORNTPHARM,0.2634038366945401,2026-06-08
UBL,0.25282833251352677,2026-06-08
CARBORUNIV,0.21637426900584797,2026-06-08
BHARATFORG,0.20243072634858175,2026-06-08
JSWENERGY,0.20081160846040336,2026-06-08
VOLTAS,0.16066158386620757,2026-06-08
SJVN,0.15497076023391812,2026-06-08
PVRINOX,0.1345029239766082,2026-06-08
GESHIP,0.8161183169882948,2026-06-28
MCX,0.7928266371401456,2026-06-28
IEX,0.7648489402087947,2026-06-28
OFSS,0.7532228725086998,2026-06-28
GNFC,0.7522342613097122,2026-06-28
NATIONALUM,0.7444242328377095,2026-06-28
LUPIN,0.7331145207212908,2026-06-28
NMDC,0.7325015817779184,2026-06-28
CHAMBLFERT,0.7313943372350522,2026-06-28
HINDCOPPER,0.7100996520088579,2026-06-28
MUTHOOTFIN,0.694875039544448,2026-06-28
VEDL,0.6858391331857008,2026-06-28
PETRONET,0.6834269218601708,2026-06-28
GLAXO,0.6602934198038595,2026-06-28
IRCTC,0.6589093641252768,2026-06-28
AMBUJACEM,0.6549746915533059,2026-06-28
PERSISTENT,0.6543617526099336,2026-06-28
IPCALAB,0.6399478013286934,2026-06-28
CUMMINSIND,0.635736317621006,2026-06-28
OBEROIRLTY,0.6327309395760835,2026-06-28
TATAELXSI,0.6298244226510598,2026-06-28
ICICIGI,0.6281042391648213,2026-06-28
HAVELLS,0.6270365390699146,2026-06-28
FINPIPE,0.6195230939576084,2026-06-28
JSL,0.6163990825688074,2026-06-28
SUPREMEIND,0.6106255931667194,2026-06-28
HDFCAMC,0.609617209743752,2026-06-28
GLAND,0.6062361594432142,2026-06-28
APLAPOLLO,0.6031319202783929,2026-06-28
CANFINHOME,0.6021433090794053,2026-06-28
INDIAMART,0.5972595697564062,2026-06-28
APOLLOTYRE,0.5965675419171148,2026-06-28
ADANIPOWER,0.5907347358430876,2026-06-28
PIDILITIND,0.589983391331857,2026-06-28
IGL,0.5882829800695982,2026-06-28
MRF,0.5836562796583359,2026-06-28
BOSCHLTD,0.5736713065485606,2026-06-28
MPHASIS,0.560661183169883,2026-06-28
SOLARINDS,0.5595934830749763,2026-06-28
POLYCAB,0.5592771274913002,2026-06-28
ESCORTS,0.5581698829484341,2026-06-28
PFC,0.5539188547927871,2026-06-28
SUNTV,0.552969788041759,2026-06-28
NAVINFLUOR,0.5503400822524518,2026-06-28
CGPOWER,0.5483430876304967,2026-06-28
MARICO,0.5415414425814615,2026-06-28
CDSL,0.53926763682379,2026-06-28
ASHOKLEY,0.5367367921543815,2026-06-28
MGL,0.5331580196140462,2026-06-28
ZYDUSLIFE,0.5318135083834229,2026-06-28
INDUSTOWER,0.5302910471369819,2026-06-28
M&MFIN,0.5236475798797848,2026-06-28
GRANULES,0.5141371401455236,2026-06-28
DABUR,0.5139394179057261,2026-06-28
ACC,0.5134846567541917,2026-06-28
JBCHEPHARM,0.512575134451123,2026-06-28
RAMCOCEM,0.5086206896551724,2026-06-28
BERGEPAINT,0.5068411894969946,2026-06-28
ICICIPRULI,0.5011270167668459,2026-06-28
METROPOLIS,0.49750869977855106,2026-06-28
DLF,0.4912211325529895,2026-06-28
ALKEM,0.4871282821891807,2026-06-28
JUBLFOOD,0.48563218390804597,2026-06-28
CESC,0.48175023726668775,2026-06-28
LALPATHLAB,0.48163160392280924,2026-06-28
GODREJIND,0.47963460930085416,2026-06-28
NAUKRI,0.4761151534324581,2026-06-28
AEGISLOG,0.4724177475482442,2026-06-28
RECLTD,0.4721804808604872,2026-06-28
LICHSGFIN,0.4713302752293578,2026-06-28
GODREJPROP,0.4670594748497311,2026-06-28
DIXON,0.46690129705789307,2026-06-28
SAIL,0.46393546346093006,2026-06-28
KANSAINER,0.4552752293577982,2026-06-28
NHPC,0.4542668459348308,2026-06-28
INDHOTEL,0.4533177791838026,2026-06-28
KPITTECH,0.45195349572919963,2026-06-28
HONAUT,0.44873062322049984,2026-06-28
PIIND,0.44722793419803863,2026-06-28
ASTRAL,0.44525071180006326,2026-06-28
TVSMOTOR,0.43892360012654225,2026-06-28
CONCOR,0.43651138880101237,2026-06-28
SBICARD,0.4333676051882316,2026-06-28
AUROPHARMA,0.42698117684277126,2026-06-28
MOTHERSON,0.42041679848149316,2026-06-28
ZEEL,0.4195402298850575,2026-06-28
UPL,0.4131208478329642,2026-06-28
ABCAPITAL,0.4122904144258146,2026-06-28
DMART,0.4047176526415691,2026-06-28
SRF,0.3964528630180323,2026-06-28
EXIDEIND,0.3952665295792471,2026-06-28
FORTIS,0.3839172730148687,2026-06-28
LAURUSLABS,0.3787171781081936,2026-06-28
BHEL,0.3741695665928504,2026-06-28
GAIL,0.3716584941474217,2026-06-28
GODREJCP,0.37031398291679846,2026-06-28
DEEPAKNTR,0.3558209427396394,2026-06-28
WHIRLPOOL,0.3443332806074027,2026-06-28
KEC,0.33167905726036073,2026-06-28
DALBHARAT,0.3268744068332806,2026-06-28
JINDALSTEL,0.3218390804597701,2026-06-28
TORNTPOWER,0.31938073394495414,2026-06-28
TATAPOWER,0.3142201834862385,2026-06-28
TATACOMM,0.3126384055678582,2026-06-28
PAYTM,0.3017241379310345,2026-06-28
ADANIGREEN,0.29254982600442897,2026-06-28
ATGL,0.28254508067067385,2026-06-28
SYNGENE,0.2807853527364758,2026-06-28
TORNTPHARM,0.2632671622904144,2026-06-28
UBL,0.259292945270484,2026-06-28
CARBORUNIV,0.21839080459770113,2026-06-28
JSWENERGY,0.20820151850680163,2026-06-28
BHARATFORG,0.19902720658019613,2026-06-28
SJVN,0.16954022988505746,2026-06-28
VOLTAS,0.16664030370136035,2026-06-28
PVRINOX,0.13793103448275862,2026-06-28
