ticker,name
ADANIENT,Adani Enterprises
ADANIPORTS,Adani Ports & SEZ
APOLLOHOSP,Apollo Hospitals
ASIANPAINT,Asian Paints
AXISBANK,Axis Bank
BAJAJ-AUTO,Bajaj Auto
BAJFINANCE,Bajaj Finance
BAJAJFINSV,Bajaj Finserv
BEL,Bharat Electronics
BHARTIARTL,Bharti Airtel
BPCL,Bharat Petroleum
BRITANNIA,Britannia Industries
CIPLA,Cipla
COALINDIA,Coal India
DIVISLAB,Divi's Laboratories
DRREDDY,Dr Reddy's Laboratories
EICHERMOT,Eicher Motors
GRASIM,Grasim Industries
HCLTECH,HCL Technologies
HDFCBANK,HDFC Bank
HDFCLIFE,HDFC Life Insurance
HEROMOTOCO,Hero MotoCorp
HINDALCO,Hindalco Industries
HINDUNILVR,Hindustan Unilever
ICICIBANK,ICICI Bank
INDUSINDBK,IndusInd Bank
INFY,Infosys
ITC,ITC
JSWSTEEL,JSW Steel
KOTAKBANK,Kotak Mahindra Bank
LT,Larsen & Toubro
LTIM,LTIMindtree
M&M,Mahindra & Mahindra
MARUTI,Maruti Suzuki
NESTLEIND,Nestle India
NTPC,NTPC
ONGC,Oil and Natural Gas Corp
POWERGRID,Power Grid Corp
RELIANCE,Reliance Industries
SBILIFE,SBI Life Insurance
SBIN,State Bank of India
SHRIRAMFIN,Shriram Finance
SUNPHARMA,Sun Pharmaceutical
TATACONSUM,Tata Consumer Products
TATAMOTORS,Tata Motors
TATASTEEL,Tata Steel
TCS,Tata Consultancy Services
TECHM,Tech Mahindra
TITAN,Titan Company
TRENT,Trent
ULTRACEMCO,UltraTech Cement
WIPRO,Wipro
